Original;Translated
options.mem.thresholds.tails.label.hint;Seleccione si quiere usar intervalos de una o de dos colas para los umbrales
selections.surveillance.force.hint;Seleccione la semana en la que quiere forzar el inicio de la epidemia en el gráfico.<br>La epidemia se iniciará en esa semana y no en la primera que cruce el umbral epidémico
main.model.optimize.manual.clicks;Clics
options.graphs.observedline.hint;Color de la línea de datos observados
options.graphs.epidemicend.hint;Color del punto que marca el fin de la epidemia
options.graphs.epidemicstart.hint;Color del punto que marca el inicio de la epidemia
options.graphs.observedpoints.hint;Color de los puntos de datos observados
options.mem.goodness.validation.cross;Cruzada
options.mem.goodness.validation.hint;Cross: Extrae una temporada y el modelo se calcula con el resto.<br>Sequential: Extrae una temporada y el modelo se calcula con las precedentes únicamente
main.model.optimize.automatic.currentparam;Parámetro actual
main.checkdescribe.data;Datos
selections.dataset;Datos
selections.dataset.dataset.label;Datos
app.default;por defecto
main.checkdescribe.goodness.description;Descripción
main.checkdescribe.evolution.detailed;Detallado
main.checkdescribe.goodness.detailed;Detallado
main.model.mem.detailed;Detallado
main.model.optimize.detailed;Detallado
main.checkdescribe.evolution.duration;Duración
graphs.durationlower;Duración (límite inf.)
graphs.durationupper;Duración (límite sup.)
graphs.duration;Duración
graphs.end;Fin
graphs.endcentering;Fin periodo de centrado
graphs.epidemic;Epidemia
main.checkdescribe.evolution.epidemicperc;Porc. epidémico
graphs.epidemicmiss;Epidemia (ausentes)
options.graphs.epidemicend.label;Fin epidemia
graphs.epidemicpercentage.short;Porc. epidemico
graphs.epiperclower;Porc. epidemico (límite inf.)
graphs.epipercupper;Porc. epidemico (límite sup.)
graphs.epidemicpercentage;Porcentaje epidémico
options.graphs.epidemicstart.label;Inicio epidemia
graphs.prethreshold.short;Umb. epidémico
options.mem.thresholds.epidemic.label;Umbral epidémico
main.model.mem.estimators;Estimadores
main.checkdescribe.evolution;Evolución
selections.model.exclude.label;Excluir
options.support.experimentalfeatures.label;Características experimentales
main.checkdescribe.file;Fichero
selections.dataset.transformation.fillmiss;Rellenar ausentes
selections.model.from.hint;Primera temporada para incluir en el modelo
selections.dataset.firstweek.label;Semana inicio
selections.dataset.firstweek.hint;Primera semana del periodo de vigilancia
options.mem.timing.method.fixed;Criterio fijo
selections.surveillance.force.label;Forzar inicio epidemia
options.graphs.yaxis0.hint;Fuerza que el eje-y comience en el valor 0 en todos los gráficos
selections.model.from.label;Desde
options.mem.thresholds.epidemic.geometricmean;Media geométrica e IC de la media
options.mem.thresholds.epidemic.geometricprediction;Media geométrica e IC de predicción
app.globalgoodnessindicators;Indicadores bondad globales
app.globalgoodnessintensity;Intensidad bondad global
app.globalgoodnesssummary;Resumen bondad global
main.checkdescribe.goodness;Bondad
options.mem.goodness;Bondad y optimización
options.graphs;Opciones gráficas
main.checkdescribe.goodness.graphs;Gráficos
main.model.mem.graphs;Gráficos
main.model.goodness.graphs;Gráficos
main.model.optimize.graphs;Gráficos
options.graphs.height.label;Alto gráficos
options.graphs.width.label;Ancho gráficos
options.graphs.height.hint;Alto de los gráficos generados por la aplicación
graphs.highlevel;Nivel alto
options.mem.thresholds.intensity.high.label;Nvl alto
graphs.highthreshold.short;Umb. alto
graphs.highthreshold;Umbral alto
options.mem.other.centering.10;Mayor periodo de 10 semanas
options.mem.other.centering.11;Mayor periodo de 11 semanas
options.mem.other.centering.12;Mayor periodo de 12 semanas
options.mem.other.centering.13;Mayor periodo de 13 semanas
options.mem.other.centering.14;Mayor periodo de 14 semanas
options.mem.other.centering.15;Mayor periodo de 15 semanas
options.mem.other.centering.1;Mayor periodo de 1 semana (máximo)
options.mem.other.centering.2;Mayor periodo de 2 semanas
options.mem.other.centering.3;Mayor periodo de 3 semanas
options.mem.other.centering.4;Mayor periodo de 4 semanas
options.mem.other.centering.5;Mayor periodo de 5 semanas
options.mem.other.centering.6;Mayor periodo de 6 semanas
options.mem.other.centering.7;Mayor periodo de 7 semanas
options.mem.other.centering.8;Mayor periodo de 8 semanas
options.mem.other.centering.9;Mayor periodo de 9 semanas
options.mem.other.centering.mean;Mayor periodo de la longitud media en semanas
selections.dataset.dataset.hint;Si el formato de fichero que está tratando de abrir admite varias tablas de datos, seleccione la que quiere cargar
graphs.indicator;Indicador
main.checkdescribe.goodness.indicators;Indicadores
main.checkdescribe.goodness.intensity;Intensidad
options.mem.thresholds.intensity.label;Umbrales de intensidad
selections.thresholds.intensity.label;Umbrales/niveles de intensidad
options.language.label;Idioma
selections.model.to.hint;Última temporada para incluir en el modelo
selections.dataset.lastweek.label;Semana fin
selections.dataset.lastweek.hint;Última semana del periodo de vigilancia
graphs.legend;Leyenda
graphs.level;nivel
main.checkdescribe.goodness.level;Nivel
options.mem.other.averageotherci.hint;Niveles de los intervales de confianza que se usan para calcular la curva media y otros intervalos
options.mem.thresholds.intensity.high.hint;Nivel del intervalo de confianza usado para calcular el umbral alto
options.mem.thresholds.intensity.medium.hint;Nivel del intervalo de confianza usado para calcular el umbral medio
options.mem.thresholds.intensity.veryhigh.hint;Nivel del intervalo de confianza usado para calcular el umbral muy alto
options.graphs.levelspalette.label;Paleta niveles
selections.loadfile;Abrir fichero
selections.dataset.transformation.loess;Loess
selections.dataset.transformation.loess.span.label;Suavizado Loess
selections.dataset.transformation.loess.span.hint;Parámetro de suavizado Loess
ui.log;Registro
graphs.lowlevel;Nivel bajo
graphs.lowerinterval;Intervalo inferior
graphs.lowerlimit;Límite inferior
selections.dataset.transformation.movingaverage.weeks.label;Semanas MM
options.text.main.label;Título
main.model.optimize.manual;Manual
main.checkdescribe.timing.map;Curva PMA
options.mem.goodness.optimization.matthews;Coeficiente de Correlación de Matthews
graphs.matthews;Coeficiente de correlación de Matthews
selections.model.seasons.hint;Número máximo de temporadas que se incluirán en el modelo.<br>Tenga en cuenta que el limitar el número de semanas probablemente afecte al resto de opciones ya que se toman las últimas temporadas del periodo determinado por Desde/A/Excluir.<br>Para la gripe no se recomienda usar menos de 10 temporadas
graphs.meanend;Fin medio
graphs.meanstart;Inicio medio
options.mem.thresholds.epidemic.medianbootstrap;Mediana e IC remuestreo
options.mem.thresholds.epidemic.mediannyblom;Mediana e IC método Nyblom
graphs.mediumlevel;Nivel medio
options.mem.thresholds.intensity.medium.label;Nvl medio
graphs.mediumthreshold.short;Umb. medio
graphs.mediumthreshold;Umbral medio
main.model.mem;MEM
ui.memmodelsummary;Resumen del modelo MEM
ui.memneedstwo;MEM necesita al menos dos temporadas
options.mem;Opciones MEM
ui.memreads;memapp es capaz de leer ficheros MSExcel(xls, xlsx), MSAccess (mdb, accdb), text (csv, dat, prn, txt), R (rds, rda, rdata), dBase (dbf), SPSS (sav), Stata (dta), SAS (sas7bdat) y OpenDocument Spreadsheet (ods)
options.mem.other.other.hint;Método de cálculo de otros intervalos de confianza: duración, porcentaje epidémico, inicio medio, etc.
options.mem.other.average.hint;Método de calculo de los IC de la curva media
options.mem.thresholds.epidemic.hint;Método de cálculo de los umbrales epidémicos
options.mem.thresholds.intensity.hint;Método de cálculo de los umbrales de intensidad
options.mem.other.centering.hint;Método de centrado de las temporadas para calcular la curva media
options.mem.timing.method.label;Método localización
options.mem.goodness.optimization.hint;Método para elegir el parámetro óptimo
selections.dataset.wavesdetection.twoobserved.minimumprop.label;Proporción mínima
selections.dataset.wavesdetection.twoobserved.minimumprop.hint;Proporción minima que debe tener una de las ondas para que se considere independiente de la otra
selections.dataset.wavesdetection.multiple.separation.hint;Separación mínima entre dos temporadas para que sean consideradas distintas
graphs.missing;ausentes
options.mem.goodness.optimization.mixed;Mixto
selections.model;Modelizar
main.model.label;Modelizar
app.modeldata;Modelo
app.modelgoodnessindicators;Indicadores bondad modelo
app.modelgoodnessintensity;Intensidad bondad modelo
app.modelgoodnesssummary;Resumen bondad modelo
selections.dataset.transformation.movingaverage;Media móvil
selections.dataset.transformation.movingaverage.weeks.hint;Semanas media móvil
main.model.mem.graphs.moving;Epidemias móviles
selections.dataset.wavesdetection.multiple.param1.hint;Parámetro 1 del algoritmo de ondas múltiples: cuando se decide que una tasa no pertenece a la onda que se está detectando en cada iteración
selections.dataset.wavesdetection.multiple.param2.hint;Parámetro 2 del algoritmo de ondas múltiples: cuando una agrupación de ondas no tiene el suficiente volumen para poderse considerar una onda independiente
selections.dataset.wavesdetection.multiple;Multiples ondas/series
options.mem.goodness.optimization.multiplicative;Multiplicativo
options.mem.goodness.optimization.negative;Verosimilitud -
graphs.npv;Valor predictivo negativo
graphs.next;próxima
graphs.no;No
graphs.nodataseasons;Temporadas sin datos
ui.nofile;Ningún fichero u hoja de datos seleccionados
selections.dataset.transformation.no;Ninguna
selections.dataset.wavesdetection.multiple.no.label;N. de ondas
ui.columnstwo;El número de columnas debe ser mayor que 2
options.mem.thresholds.values.hint;Número de valores que se toman cada temporada para calcular los umbrales. Si es -1, se toman un total de 30 puntos (por temporada=30/número de temporadas). Si es 0, se toman todos los puntos
options.graphs.observedline.label;Datos (línea)
options.graphs.observedpoints.label;Datos (puntos)
selections.dataset.transformation.odd;Odd
selections.dataset.wavesdetection.one;Una onda/temporada
ui.openxlsx;No se ha encontrado openxlsx
app.optimization;Optimización
options.mem.goodness.optimization.label;Método optimización
main.model.optimize;Optimizar
selections.dataset.transformation.smothing.optimum.label;Óptimo
main.model.optimize.automatic.optimumparam;Parámetro óptimo
options.mem.timing.method.original;Original
options.mem.other;Otros
options.mem.other.other.label;Otros IC
options.graphs.thresholdspalette.hint;Paleta que se usa para generar los colores de los umbrales epidémicos y de intensidad
options.graphs.levelspalette.hint;Paleta que se usa para generar los colores de los niveles de intensidad
options.graphs.seasonspalette.hint;Paleta usada para generar los colores de las líneas del gráfico de series y de otros gráficos en los que intervienen varias líneas
options.graphs.timingpalette.hint;Paleta usada para generar los colores de los puntos pre, pos y epidémicos en los gráficos de localización
selections.dataset.wavesdetection.multiple.param1.label;Parám. 1
selections.dataset.wavesdetection.multiple.param2.label;Parám. 2
main.model.optimize.automatic.parameter;Parámetro
options.mem.goodness.optimization.paramrange.label;Rango parámetro
main.checkdescribe.goodness.detailed.peak;Máximo
main.checkdescribe.goodness.detailed.peakweek;Semana del máximo
graphs.percent;Porcentaje de acuerdo
options.mem.goodness.optimization.percent;Porcentaje de acuerdo
graphs.point;Punto
selections.dataset.transformation.loess.positive.label;Positivos
options.mem.goodness.optimization.positive;Verosimilitud +
graphs.ppv;Valor predictivo positivo
graphs.postthreshold.short;Umb. pos
graphs.postepidemic;Pos-epidemia
graphs.postepidemicmiss;Pos-epidemia (ausentes)
graphs.postthreshold;Umb. pos-epidémico
selections.thresholds.post.label;Umbral pos-epidémico
graphs.preepidemic;Pre-epidemia
graphs.preepidemicmiss;Pre-epidemia (ausentes)
graphs.prethreshold;Umb. pre-epidémico
selections.thresholds.pre.label;Umbral pre-epidémico
main.procedures;Procedimientos
selections.dataset.processdata.label;Procesar datos
options.mem.goodness.optimization.paramrange.hint;Rango de valores que puede tomar el parámetro pendiente y que se usa en las funciones de bondad y optimización
options.graphs.reset;Reiniciar
main.model.optimize.manual.results;Resultados
ui.rtools;No se ha encontrado Rtools
main.checkdescribe.evolution.scheme;Esquema
selections.surveillance.season.label;Temporada
selections.surveillance.season.hint;Temporada que quiere usar para la vigilancia, aplicando los umbrales calculados por el MEM.<br>La temporada no tiene por qué estar completa.<br>Se recomienda no incluir la temporada de vigilancia en la creación del modelo
main.checkdescribe.seasons;Temporadas
selections.model.seasons.label;Temporadas
graphs.modelseasons;Temporadas en el modelo
options.graphs.seasonspalette.label;Paleta temporadas
options.mem.timing.method.derivative;Segunda derivada
selections.model.exclude.hint;Temporadas a excluir del modelo
selections.visualize.hint;Seleccione cualquier número de temporadas para mostrar los gráficos de series, temporadas y localización y para aplicar los umbrales del modelo actualmente seleccionado.<br>Para borrar una temporada de la selección, haga clic en ella y presione la tecla BORRAR
selections.dataset.wavesdetection.hint;Select the number of waves in the original data or the algorith to separate diferent waves
selections.dataset.transformation.hint;Seleccione qué transformación quiere realizar a los datos
graphs.sensitivity;Sensibilidad
selections.dataset.wavesdetection.multiple.separation.label;Separación
options.mem.goodness.validation.sequential;Secuencial
main.checkdescribe.series;Serie
options.support.advancedfeatures.hint;Muestra las opciones avanzadas de la aplicación
options.support.experimentalfeatures.hint;Muestra las opciones experimentales de la aplicación
app.showadvancedtickbox;Mostrar opción para habilitar las características avanzadas
app.showexperimentaltickbox;Mostrar opción para habilitar las características experimentales
main.checkdescribe.timing.slope;Curva pendiente
options.mem.timing.method.slope;Pendiente
options.mem.timing.slope.label;Parametro pendiente
options.mem.timing.slope.hint;Parámetro pendiente que se usa en el criterio fijo
selections.dataset.transformation.smothing.parameter.label;Parámetro de suavizado
selections.dataset.transformation.smothing.parameter.hint;Parámetro de suavizado de la regresión de suavizado
selections.dataset.transformation.smothing;Smoothing regression
graphs.specificity;Especificidad
selections.dataset.transformation.spline;Spline
main.checkdescribe.stability;Estabilidad
graphs.start;Inicio
main.model.optimize.manual.startend;Inicio y fin
graphs.startlower;Inicio (límite inf.)
graphs.startupper;Inicio (límite sup.)
main.checkdescribe.evolution.start;Inicio
graphs.startcentering;Inicio periodo de centrado
options.support.issues;Notificar errores
main.checkdescribe.goodness.summary;Resumen
main.model.hint;Resumen, gráficos, bondad y optimización del modelo MEM
options.support;Ayuda
main.surveillance.label;Vigilar
selections.surveillance;Vigilar
main.surveillance.surveillance;Vigilar
main.surveillance.hint;Herramientas para la vigilancia
options.mem.thresholds.tails.label.label;Colas
options.support.manual;Manual técnico
options.text;Opciones de texto
ui.moving;Aplicación Web del Método de la Epidemia Móvil
options.mem.thresholds;Umbrales
main.checkdescribe.evolution.thresholds;Umbrales
selections.thresholds;Umbrales
options.graphs.thresholdspalette.label;Paleta umbrales
main.checkdescribe.timing;Localización
options.mem.timing;Localización
options.graphs.timingpalette.label;Paleta localización
selections.model.to.label;A
selections.dataset.wavesdetection.multiple.no.hint;Número total de ondas del periodo. Póngalo a 0 para dejar que el programa lo determine automáticamente
graphs.totalseasons;Total temporada
selections.dataset.transformation.label;Transformación
selections.dataset.wavesdetection.twoexpected;Dos ondas/temporada (esperados)
selections.dataset.wavesdetection.twoobserved;Dos ondas/temporada (observados)
graphs.upperinterval;Intervalo superior
graphs.upperlimit;Límite superior
options.mem.thresholds.epidemic.uset.label;Usar distribución t
options.mem.goodness.validation.label;Validación
graphs.value;Valor
options.mem.thresholds.values.label;Datos temporada
graphs.veryhighlevel;Nivel muy alto
options.mem.thresholds.intensity.veryhigh.label;Nvl muy alto
graphs.veryhighthreshold.short;Umb. muy alto
graphs.veryhighthreshold;Umbral muy alto
selections.visualize.label;Visualizar
main.visualize.label;Visualizar
main.visualize.hint;Visualice diferentes conjuntos de datos con distintos modelos
selections.dataset.wavesdetection.label;Detección de ondas
graphs.week;Semana
selections.surveillance.week.label;Semana
main.surveillance.surveillance.week;Semana
app.weekna;Semana no
app.weekno;Semana nu
selections.surveillance.week.hint;Semana para que se quiere crear el gráfico de vigilancia. Puede ser cualquier semana desde la primera semana a la última en la que se tienen datos
graphs.weeklydata;Datos semanales
options.graphs.width.hint;Ancho de los gráficos generados por la aplicación
options.text.xaxis.label;Eje X
options.text.yaxis.label;Eje Y
options.graphs.yaxis0.label;Eje-Y comienza en 0
graphs.yes;Sí
graphs.youden;Índice de Youden
options.mem.goodness.optimization.youden;Índice de Youden
ui.nozip;No se ha encontrado zip
