Original;Translated
selections.dataset.transformation.smothing.parameter.hint;Smoothing parameter of the smoothing regression
selections.dataset.transformation.smothing;Smoothing regression
graphs.specificity;Specificity
selections.dataset.transformation.spline;Spline
main.checkdescribe.stability;Stability
graphs.start;Start
main.model.optimize.manual.startend;Start & end
graphs.startlower;Start (lower limit)
graphs.startupper;Start (upper limit)
main.checkdescribe.evolution.start;Start
graphs.startcentering;Start centering period
options.support.issues;Submit issues
main.checkdescribe.goodness.summary;Summary
main.model.hint;Summary, graphs, goodness and optimization of the MEM model
options.support;Support
main.surveillance.label;Surveillance
selections.surveillance;Surveillance
main.surveillance.surveillance;Surveillance
main.surveillance.hint;Surveillance tools
options.mem.thresholds.tails.label.label;Tails
options.support.manual;Technical manual
options.text;Text options
ui.moving;The Moving Epidemic Method Web Application
options.mem.thresholds;Thresholds
main.checkdescribe.evolution.thresholds;Thresholds
selections.thresholds;Thresholds
options.graphs.thresholdspalette.label;Thresholds palette
main.checkdescribe.timing;Timing
options.mem.timing;Timing
options.graphs.timingpalette.label;Timing palette
selections.model.to.label;To
selections.dataset.wavesdetection.multiple.no.hint;Total number of waves of the whole dataset, set it to 0 if you want the program to autodetect it
graphs.totalseasons;Total seasons
selections.dataset.transformation.label;Transformation
selections.dataset.wavesdetection.twoexpected;Two waves/season (expected)
selections.dataset.wavesdetection.twoobserved;Two waves/season (observed)
graphs.upperinterval;Upper interval
graphs.upperlimit;Upper limit
options.mem.thresholds.epidemic.uset.label;Use t distribution
options.mem.goodness.validation.label;Validation
graphs.value;Value
options.mem.thresholds.values.label;Values per season
graphs.veryhighlevel;Very high level
options.mem.thresholds.intensity.veryhigh.label;Very high lvl
graphs.veryhighthreshold.short;Very high thr.
graphs.veryhighthreshold;Very high threshold
selections.visualize.label;Visualize
main.visualize.label;Visualize
main.visualize.hint;Visualize different sets of data with a MEM model
selections.dataset.wavesdetection.label;Waves detection
graphs.week;Week
selections.surveillance.week.label;Week
main.surveillance.surveillance.week;Week
app.weekna;Week na
app.weekno;Week no
selections.surveillance.week.hint;Week you want to create the surveillance graph for. It can be any week from the first week of the surveillance season to the last one that have data
graphs.weeklydata;Weekly data
options.graphs.width.hint;Width of applications graphs
options.text.xaxis.label;X-axis
options.text.yaxis.label;Y-axis
options.graphs.yaxis0.label;y-axis starts at 0
graphs.yes;Yes
graphs.youden;Youdens Index
options.mem.goodness.optimization.youden;Youden's Index
ui.nozip;Zip not found
